,0
0,10946.002
1,3058.991
2,10946.002
3,3058.991
4,3058.991
5,10946.002
6,3058.991
7,6609.881
8,6609.881
9,6609.881
10,65.74697
11,117.82238
12,65.74697
13,117.82238
14,117.82238
15,65.74697
16,11656.324
17,11656.324
18,11656.324
19,11656.324
20,44.5321
21,44.5321
22,44.5321
23,96.51365
24,68.33337
25,4495.0073
26,4495.0073
27,6609.881
28,6609.881
29,4495.0073
30,4495.0073
31,4383.476
32,4495.0073
33,48.770447
34,96.51365
35,11656.324
36,14290.504
37,11656.324
38,11656.324
39,2144.4348
40,2600.93
41,16.755281
42,50163.67
43,214.1418
44,270.2051
45,307.3253
46,270.2051
47,214.1418
48,270.2051
49,214.1418
50,214.1418
51,214.1418
52,214.1418
53,93.74848
54,99.72535
55,99.72535
56,103.01102
57,103.01102
58,103.01102
59,103.01102
60,108.53542
61,108.53542
62,108.53542
63,108.53542
64,93.74848
65,93.74848
66,93.74848
67,93.74848
68,99.72535
69,99.72535
70,99.72535
71,103.01102
72,103.01102
73,103.01102
74,108.53542
75,108.53542
76,108.53542
77,108.53542
78,108.53542
79,108.53542
80,838588.94
81,1076.5728
82,93.74848
83,93.74848
84,99.72535
85,99.72535
86,103.01102
87,103.01102
88,103.01102
89,103.01102
90,108.53542
91,108.53542
92,108.53542
93,108.53542
94,108.53542
95,108.53542
96,93.74848
97,2128.6565
98,453.94333
99,453.94333
100,93.74848
101,143232.45
102,92.40404
103,92.40404
104,92.40404
105,103.01102
106,103.01102
107,103.01102
108,103.01102
109,103.01102
110,103.01102
111,108.53542
112,108.53542
113,108.53542
114,108.53542
115,108.53542
116,108.53542
117,93.74848
118,99.72535
119,99.72535
120,99.72535
121,99.72535
122,103.01102
123,103.01102
124,108.53542
125,108.53542
126,108.53542
127,108.53542
128,108.53542
129,93.74848
130,93.74848
131,93.74848
132,93.74848
133,2389.2612
134,454.1769
135,740.9696
136,453.94333
137,99.72535
138,99.72535
139,108.53542
140,108.53542
141,108.53542
142,108.53542
143,108.53542
144,93.74848
145,93.74848
146,93.74848
147,93.74848
148,93.74848
149,93.74848
150,99.72535
151,99.72535
152,99.72535
153,200.69678
154,200.69678
155,1152.8701
156,182.63425
157,494.29428
158,200.69678
159,215.69055
160,200.69678
161,200.69678
162,200.69678
163,838588.94
164,845.01105
165,1169.0956
166,396.1837
167,200.69678
168,7656.1523
169,11094.916
170,301.7478
171,301.7478
172,211.0439
173,211.0439
174,322.18674
175,322.18674
176,322.18674
177,322.18674
178,428.67593
179,428.67593
180,428.67593
181,428.67593
182,428.67593
183,428.67593
184,301.7478
185,301.7478
186,301.7478
187,301.7478
188,301.7478
189,301.7478
190,301.7478
191,211.0439
192,211.0439
193,301.7478
194,301.7478
195,211.0439
196,428.67593
197,428.67593
198,428.67593
199,301.7478
200,301.7478
201,301.7478
202,301.7478
203,301.7478
204,211.0439
205,322.18674
206,322.18674
207,428.67593
208,428.67593
209,428.67593
210,428.67593
211,428.67593
212,428.67593
213,301.7478
214,301.7478
215,301.7478
216,301.7478
217,211.0439
218,322.18674
219,322.18674
220,322.18674
221,428.67593
222,428.67593
223,301.7478
224,301.7478
225,301.7478
226,301.7478
227,301.7478
228,211.0439
229,211.0439
230,322.18674
231,322.18674
232,211.0439
233,322.18674
234,322.18674
235,428.67593
236,428.67593
237,428.67593
238,428.67593
239,428.67593
240,428.67593
241,301.7478
242,301.7478
243,301.7478
244,301.7478
245,301.7478
246,301.7478
247,211.0439
248,211.0439
249,211.0439
250,211.0439
251,211.0439
252,322.18674
253,428.67593
254,428.67593
255,428.67593
256,428.67593
257,301.7478
258,301.7478
259,301.7478
260,301.7478
261,211.0439
262,211.0439
263,211.0439
264,211.0439
265,322.18674
266,428.67593
267,428.67593
268,428.67593
269,428.67593
270,301.7478
271,301.7478
272,301.7478
273,211.0439
274,211.0439
275,322.18674
276,428.67593
277,428.67593
278,428.67593
279,428.67593
280,301.7478
281,301.7478
282,301.7478
283,301.7478
284,211.0439
285,211.0439
286,211.0439
287,211.0439
288,211.0439
289,428.67593
290,428.67593
291,428.67593
292,428.67593
293,428.67593
294,7656.1523
295,301.7478
296,494.29428
297,182.63425
298,494.29428
299,1093.958
300,54.386105
301,93.74848
302,54.386105
303,54.386105
304,52.979237
305,93.74848
306,259.85977
307,4035.706
308,25.122297
309,4982.028
310,93.74848
311,319.48215
312,6609.881
313,4495.0073
314,4495.0073
315,1076.5728
316,255882.6
317,108.53542
318,33.79178
319,3009.186
320,33.79178
321,255882.6
322,93.74848
323,16902.395
324,33.79178
325,93.74848
326,93.74848
327,197793.67
328,33.79178
329,289.0368
330,99.72535
331,440.86627
332,440.86627
333,144.49937
334,144.49937
335,597.99097
336,440.86627
337,440.86627
338,12442.2
339,694.65607
340,99.72535
341,182.63425
342,38.2546
343,11931.848
344,11931.848
345,44.898323
346,25.122297
347,99.72535
348,93.74848
349,323.9523
350,1076.5728
351,200.69678
352,99.72535
353,98438.16
354,4495.0073
355,197793.67
356,255882.6
357,4495.0073
358,6609.881
359,6609.881
360,440.86627
361,33.79178
362,6609.881
363,83793.84
364,567.65607
365,33.79178
366,33.79178
367,33.79178
368,54.762936
369,6609.881
370,25.122297
371,4982.028
372,25.122297
373,4035.706
374,4982.028
375,479.08148
376,83793.84
377,4495.0073
378,9454.14
379,135.36058
380,135.36058
381,99.72535
382,479.08148
383,106.90592
384,135.36058
385,2045.5452
386,1606.6501
387,144.49937
388,93.74848
389,108.53542
390,378.2677
391,86.92286
392,182.63425
393,103.01102
394,38.125576
395,200.69678
396,11931.848
397,99.72535
398,4982.028
399,4035.706
400,8653.919
401,144.49937
402,144.49937
403,93.74848
404,99.72535
405,135.36058
406,207880.7
407,6957.379
408,227701.34
409,554.1606
410,2826.2085
411,554.1606
412,93.74848
413,93.74848
414,13104.485
415,93.74848
416,93.74848
417,99.72535
